"SalesID","OrderDate","ProductName","ProductCategory","SubCategory","PackSize","Quantity","UnitPrice","TotalRevenue","Profit","CustomerName","City_Cust","State_Cust","StoreName","City_Store","State_Store","Region","SalesChannel"
"S0023","1/27/2023","Masala Peanuts","Snacks","Spicy","200g","1","110","110","40","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0024","1/28/2023","Plain Ladoo","Sweets","Sweet","200g","2","90","180","70","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0025","1/29/2023","Gulab Jamun","Sweets","Sweet","500g","2","140","280","80","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0026","1/30/2023","Aloo Bhujia","Snacks","Spicy","200g","4","80","320","100","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0027","1/31/2023","Rasgulla","Sweets","Sweet","500g","3","180","540","150","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0028","2/1/2023","Chana Dal","Snacks","Spicy","200g","5","75","375","100","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0029","2/2/2023","Aloo Bhujia","Snacks","Spicy","200g","1","80","80","25","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0030","2/3/2023","Masala Peanuts","Snacks","Spicy","200g","2","110","220","80","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0031","2/4/2023","Plain Ladoo","Sweets","Sweet","200g","3","90","270","105","Meena Iyer","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0032","2/5/2023","Gulab Jamun","Sweets","Sweet","500g","1","140","140","40","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0033","2/6/2023","Aloo Bhujia","Snacks","Spicy","200g","2","80","160","50","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0034","2/7/2023","Chana Dal","Snacks","Spicy","200g","4","75","300","80","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0035","2/8/2023","Rasgulla","Sweets","Sweet","500g","2","180","360","100","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0036","2/9/2023","Aloo Bhujia","Snacks","Spicy","200g","3","80","240","75","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0037","2/10/2023","Masala Peanuts","Snacks","Spicy","200g","1","110","110","40","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0038","2/11/2023","Plain Ladoo","Sweets","Sweet","200g","5","90","450","175","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0039","2/12/2023","Gulab Jamun","Sweets","Sweet","500g","3","140","420","120","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0040","2/13/2023","Aloo Bhujia","Snacks","Spicy","200g","2","80","160","50","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0041","2/14/2023","Rasgulla","Sweets","Sweet","500g","1","180","180","50","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0042","2/15/2023","Chana Dal","Snacks","Spicy","200g","3","75","225","60","Meena Iyer","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0043","2/16/2023","Aloo Bhujia","Snacks","Spicy","200g","4","80","320","100","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0044","2/17/2023","Plain Ladoo","Sweets","Sweet","200g","2","90","180","70","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0045","2/18/2023","Masala Peanuts","Snacks","Spicy","200g","5","110","550","200","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0046","2/19/2023","Gulab Jamun","Sweets","Sweet","500g","2","140","280","80","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0047","2/20/2023","Aloo Bhujia","Snacks","Spicy","200g","1","80","80","25","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0048","2/21/2023","Rasgulla","Sweets","Sweet","500g","3","180","540","150","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0049","2/22/2023","Chana Dal","Snacks","Spicy","200g","2","75","150","40","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0050","2/23/2023","Aloo Bhujia","Snacks","Spicy","200g","3","80","240","75","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0051","2/24/2023","Masala Peanuts","Snacks","Spicy","200g","2","110","220","80","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0052","2/25/2023","Gulab Jamun","Sweets","Sweet","500g","1","140","140","40","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0053","2/26/2023","Aloo Bhujia","Snacks","Spicy","200g","4","80","320","100","Meena Iyer","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0054","2/27/2023","Chana Dal","Snacks","Spicy","200g","3","75","225","60","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0055","2/28/2023","Plain Ladoo","Sweets","Sweet","200g","1","90","90","35","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0056","3/1/2023","Bikaneri Bhujia","Snacks","Spicy","200g","2","85","170","55","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0057","3/2/2023","Rasgulla","Sweets","Sweet","500g","2","180","360","100","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0058","3/3/2023","Aloo Bhujia","Snacks","Spicy","200g","5","80","400","125","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0059","3/4/2023","Masala Peanuts","Snacks","Spicy","200g","3","110","330","120","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0060","3/5/2023","Chana Dal","Snacks","Spicy","200g","1","75","75","20","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0061","3/6/2023","Gulab Jamun","Sweets","Sweet","500g","3","140","420","120","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0062","3/7/2023","Aloo Bhujia","Snacks","Spicy","200g","2","80","160","50","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0063","3/8/2023","Plain Ladoo","Sweets","Sweet","200g","4","90","360","140","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0064","3/9/2023","Rasgulla","Sweets","Sweet","500g","1","180","180","50","Meena Iyer","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0065","3/10/2023","Bikaneri Bhujia","Snacks","Spicy","200g","3","85","255","82.5","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0066","3/11/2023","Aloo Bhujia","Snacks","Spicy","200g","4","80","320","100","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0067","3/12/2023","Chana Dal","Snacks","Spicy","200g","2","75","150","40","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0068","3/13/2023","Masala Peanuts","Snacks","Spicy","200g","1","110","110","40","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0069","3/14/2023","Gulab Jamun","Sweets","Sweet","500g","2","140","280","80","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0070","3/15/2023","Rasgulla","Sweets","Sweet","500g","3","180","540","150","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0071","3/16/2023","Aloo Bhujia","Snacks","Spicy","200g","5","80","400","125","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0072","3/17/2023","Plain Ladoo","Sweets","Sweet","200g","2","90","180","70","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0073","3/18/2023","Bikaneri Bhujia","Snacks","Spicy","200g","1","85","85","27.5","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0074","3/19/2023","Chana Dal","Snacks","Spicy","200g","3","75","225","60","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0101","4/15/2023","Chana Dal","Snacks","Spicy","200g","2","75","150","40","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0102","4/16/2023","Plain Ladoo","Sweets","Sweet","200g","5","90","450","175","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0103","4/17/2023","Aloo Bhujia","Snacks","Spicy","200g","1","80","80","25","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0104","4/18/2023","Gulab Jamun","Sweets","Sweet","500g","3","140","420","120","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0105","4/19/2023","Bikaneri Bhujia","Snacks","Spicy","200g","4","85","340","110","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0106","4/20/2023","Rasgulla","Sweets","Sweet","500g","1","180","180","50","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0107","4/21/2023","Masala Peanuts","Snacks","Spicy","200g","3","110","330","120","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0108","4/22/2023","Mathri","Snacks","Spicy","200g","2","70","140","45","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0109","4/23/2023","Aloo Bhujia","Snacks","Spicy","200g","5","80","400","125","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0110","4/24/2023","Shankar Paag","Sweets","Sweet","500g","1","220","220","90","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0111","4/25/2023","Chana Dal","Snacks","Spicy","200g","3","75","225","60","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0112","4/26/2023","Plain Ladoo","Sweets","Sweet","200g","2","90","180","70","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0113","4/27/2023","Bikaneri Bhujia","Snacks","Spicy","200g","1","85","85","27.5","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0114","4/28/2023","Gulab Jamun","Sweets","Sweet","500g","4","140","560","160","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0115","4/29/2023","Aloo Bhujia","Snacks","Spicy","200g","2","80","160","50","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0116","4/30/2023","Rasgulla","Sweets","Sweet","500g","3","180","540","150","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0117","5/1/2023","Masala Peanuts","Snacks","Spicy","200g","4","110","440","160","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0118","5/2/2023","Mathri","Snacks","Spicy","200g","1","70","70","22.5","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0119","5/3/2023","Aloo Bhujia","Snacks","Spicy","200g","3","80","240","75","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0120","5/4/2023","Shankar Paag","Sweets","Sweet","500g","2","220","440","180","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0121","5/5/2023","Chana Dal","Snacks","Spicy","200g","5","75","375","100","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0122","5/6/2023","Plain Ladoo","Sweets","Sweet","200g","3","90","270","105","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0123","5/7/2023","Bikaneri Bhujia","Snacks","Spicy","200g","2","85","170","55","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0124","5/8/2023","Gulab Jamun","Sweets","Sweet","500g","1","140","140","40","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0125","5/9/2023","Aloo Bhujia","Snacks","Spicy","200g","4","80","320","100","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0126","5/10/2023","Rasgulla","Sweets","Sweet","500g","2","180","360","100","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0127","5/11/2023","Masala Peanuts","Snacks","Spicy","200g","1","110","110","40","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0128","5/12/2023","Mathri","Snacks","Spicy","200g","3","70","210","67.5","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0129","5/13/2023","Aloo Bhujia","Snacks","Spicy","200g","2","80","160","50","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0130","5/14/2023","Shankar Paag","Sweets","Sweet","500g","1","220","220","90","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0131","5/15/2023","Chana Dal","Snacks","Spicy","200g","4","75","300","80","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0132","5/16/2023","Plain Ladoo","Sweets","Sweet","200g","4","90","360","140","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0133","5/17/2023","Bikaneri Bhujia","Snacks","Spicy","200g","5","85","425","137.5","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0134","5/18/2023","Gulab Jamun","Sweets","Sweet","500g","3","140","420","120","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0135","5/19/2023","Aloo Bhujia","Snacks","Spicy","200g","1","80","80","25","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0136","5/20/2023","Rasgulla","Sweets","Sweet","500g","4","180","720","200","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0137","5/21/2023","Masala Peanuts","Snacks","Spicy","200g","2","110","220","80","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0138","5/22/2023","Mathri","Snacks","Spicy","200g","4","70","280","90","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0139","5/23/2023","Aloo Bhujia","Snacks","Spicy","200g","3","80","240","75","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0140","5/24/2023","Shankar Paag","Sweets","Sweet","500g","2","220","440","180","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0141","5/25/2023","Chana Dal","Snacks","Spicy","200g","1","75","75","20","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0142","5/26/2023","Plain Ladoo","Sweets","Sweet","200g","5","90","450","175","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0143","5/27/2023","Bikaneri Bhujia","Snacks","Spicy","200g","3","85","255","82.5","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0144","5/28/2023","Gulab Jamun","Sweets","Sweet","500g","2","140","280","80","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0145","5/29/2023","Aloo Bhujia","Snacks","Spicy","200g","5","80","400","125","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0146","5/30/2023","Rasgulla","Sweets","Sweet","500g","1","180","180","50","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0147","5/31/2023","Masala Peanuts","Snacks","Spicy","200g","3","110","330","120","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0148","6/1/2023","Mathri","Snacks","Spicy","200g","2","70","140","45","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0149","6/2/2023","Aloo Bhujia","Snacks","Spicy","200g","4","80","320","100","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0150","6/3/2023","Shankar Paag","Sweets","Sweet","500g","3","220","660","270","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0151","6/4/2023","Chana Dal","Snacks","Spicy","200g","3","75","225","60","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0152","6/5/2023","Plain Ladoo","Sweets","Sweet","Gift Pack (500g)","2","190","380","140","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0153","6/6/2023","Aloo Bhujia","Snacks","Spicy","200g","1","80","80","25","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0154","6/7/2023","Gulab Jamun","Sweets","Sweet","500g","4","140","560","160","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0155","6/8/2023","Bikaneri Bhujia","Snacks","Spicy","200g","5","85","425","137.5","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0156","6/9/2023","Rasgulla","Sweets","Sweet","500g","2","180","360","100","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0157","6/10/2023","Masala Peanuts","Snacks","Spicy","200g","4","110","440","160","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0158","6/11/2023","Mathri","Snacks","Spicy","200g","3","70","210","67.5","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0159","6/12/2023","Aloo Bhujia","Snacks","Spicy","200g","2","80","160","50","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0160","6/13/2023","Shankar Paag","Sweets","Sweet","Gift Pack (1kg)","1","450","450","185","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0161","6/14/2023","Chana Dal","Snacks","Spicy","200g","4","75","300","80","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
"S0162","6/15/2023","Plain Ladoo","Sweets","Sweet","200g","5","90","450","175","Sweets Corner","Kolkata","West Bengal","Haldiram - Park Street","Kolkata","West Bengal","East","Wholesale"
"S0163","6/16/2023","Bikaneri Bhujia","Snacks","Spicy","200g","1","85","85","27.5","Ananya Patel","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","Retail"
"S0164","6/17/2023","Gulab Jamun","Sweets","Sweet","500g","3","140","420","120","Sweet Delight Co","Ahmedabad","Gujarat","Haldiram - SG Highway","Ahmedabad","Gujarat","West","Wholesale"
"S0165","6/18/2023","Aloo Bhujia","Snacks","Spicy","200g","3","80","240","75","Deepak Sharma","Chandigarh","Punjab","Haldiram - Sector 34","Chandigarh","Punjab","North","Retail"
"S0166","6/19/2023","Rasgulla","Sweets","Sweet","500g","4","180","720","200","Neha Verma","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0167","6/20/2023","Masala Peanuts","Snacks","Spicy","200g","2","110","220","80","Arjun Nair","Hyderabad","Telangana","Haldiram - Jubilee Hills","Hyderabad","Telangana","South","Retail"
"S0168","6/21/2023","Mathri","Snacks","Spicy","200g","1","70","70","22.5","Vikram Joshi","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","E-commerce"
"S0169","6/22/2023","Aloo Bhujia","Snacks","Spicy","200g","5","80","400","125","Pooja Reddy","Bangalore","Karnataka","Haldiram - Koramangala","Bangalore","Karnataka","South","E-commerce"
"S0170","6/23/2023","Shankar Paag","Sweets","Sweet","500g","2","220","440","180","Rajesh Kumar","Delhi","Delhi","Haldiram - Connaught Place","Delhi","Delhi","North","Retail"
"S0171","6/24/2023","Chana Dal","Snacks","Spicy","200g","2","75","150","40","Priya Mehta","Mumbai","Maharashtra","Haldiram - Andheri West","Mumbai","Maharashtra","West","Retail"
